participant_id,participant_name,participant_name_chi
A00001,THE SEHK OPTIONS CLEARING HOUSE LTD,香港聯合交易所期權結算所有限公司
A00002,CHINA SECURITIES DEPOSITORY AND CLEARING,中國證券登記結算有限責任公司
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,中國証券登記結算有限責任公司
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING
A00005,CHINA SECURITIES DEPOSITORY AND CLEARING,中國證券登記結算(香港)有限公司
A90003,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING
A90004,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING
B00001,CONCORD SECURITIES CO,CONCORD SECURITIES CO
B00008,D. J. INVESTMENT CO,D. J. INVESTMENT CO
B00013,NORMAN KONG & CO,NORMAN KONG & CO
B00026,GOLDEN SEA CO,GOLDEN SEA CO
B00029,HONG KONG SECURITIES CO,HONG KONG SECURITIES CO
B00040,SOEN TAK CO,SOEN TAK CO
B00043,LUEN SING & CO,LUEN SING & CO
B00045,HUNG CHEONG SECURITIES CO,HUNG CHEONG SECURITIES CO
B00047,BOWIN INDUSTRIAL CO,BOWIN INDUSTRIAL CO
B00048,T. W. CHEUNG & CO,T. W. CHEUNG & CO
B00054,CHU CHUNG TIN,CHU CHUNG TIN
B00055,TAT LEE SECURITIES CO,TAT LEE SECURITIES CO
B00067,KUENTAI SECURITIES (KAM NGAN) CO,KUENTAI SECURITIES (KAM NGAN) CO
B00070,YAN YAN INVESTMENT CO,YAN YAN INVESTMENT CO
B00077,TRUTH & CO,TRUTH & CO
B00081,KWONG HING CO,KWONG HING CO
B00084,WAH SANG SECURITIES CO,WAH SANG SECURITIES CO
B00089,HWA LAM CO,HWA LAM CO
B00097,WINNING & CO,WINNING & CO
B00100,T. W. SABNANI & CO,T. W. SABNANI & CO
B00105,TAFONWORTHY INVESTMENT CO,TAFONWORTHY INVESTMENT CO
B00106,SO KWAN NANE & CO,SO KWAN NANE & CO
B00110,WING ON SECURITIES CO,WING ON SECURITIES CO
B00112,MAN LUNG CO,MAN LUNG CO
B00115,TUNG TAK & CO,TUNG TAK & CO
B00116,LLOYD STOCKBROKERS & CO,LLOYD STOCKBROKERS & CO
B00126,FOREGROUND SECURITIES CO,FOREGROUND SECURITIES CO
B00127,POWER SECURITIES CO,POWER SECURITIES CO
B00128,KAM WAH SECURITIES CO,KAM WAH SECURITIES CO
B00129,ZIAR & CO,ZIAR & CO
B00135,WORLDWIDE SECURITIES CO,WORLDWIDE SECURITIES CO
B00147,NORMAN & CO,NORMAN & CO
B00162,FAT LEE CO,FAT LEE CO
B00163,KO KUN STOCK CO,KO KUN STOCK CO
B00164,KO'S BROTHER (SECURITIES) CO,KO'S BROTHER (SECURITIES) CO
B00167,LAERTES SECURITIES CO,LAERTES SECURITIES CO
B00169,KWOK CHUNG CHUN SECURITIES CO,KWOK CHUNG CHUN SECURITIES CO
B00173,YING HO STOCK INVESTMENT CO,YING HO STOCK INVESTMENT CO
B00175,LAU & CO,LAU & CO
