stock_code,stock_name,stock_name_chi
1,CK HUTCHISON HOLDINGS LIMITED,長和
2,CLP HOLDINGS LIMITED,中電控股
3,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",香港中華煤氣
4,"WHARF (HOLDINGS) LIMITED, THE",九龍倉集團
5,HSBC HOLDINGS PLC,匯豐控股
6,POWER ASSETS HOLDINGS LIMITED,電能實業
7,WISDOM WEALTH RESOURCES INVESTMENT HOLDING GROUP LIMITED,智富資源投資
8,PCCW LIMITED,電訊盈科
9,KEYNE LTD,金奧國際
10,HANG LUNG GROUP LIMITED,恆隆集團
11,HANG SENG BANK LTD,恆生銀行
12,HENDERSON LAND DEVELOPMENT CO LTD,恆基地產
13,HUTCHMED (CHINA) LIMITED,和黃醫藥
14,HYSAN DEVELOPMENT COMPANY LIMITED,希慎興業
16,SUN HUNG KAI PROPERTIES LIMITED,新鴻基地產
17,NEW WORLD DEVELOPMENT CO LTD,新世界發展
18,ORIENTAL PRESS GROUP LTD,東方報業集團
19,SWIRE PACIFIC LTD 'A',太古股份公司Ａ
21,GREAT CHINA PROPERTIES HOLDINGS LIMITED,大中華地產控股
22,MEXAN LIMITED,茂盛控股
23,BANK OF EAST ASIA LTD,東亞銀行
24,BURWILL HOLDINGS LIMITED,寶威控股
25,CHEVALIER INTERNATIONAL HOLDINGS LIMITED,CHEVALIER INT'L
26,CHINA MOTOR BUS COMPANY LIMITED,中華汽車
27,GALAXY ENTERTAINMENT GROUP LIMITED,銀河娛樂
28,TIAN AN CHINA INVESTMENTS COMPANY LIMITED,天安
29,DYNAMIC HOLDINGS LIMITED,達力集團
30,BAN LOONG HOLDINGS LIMITED,萬隆控股集團
31,CHINA AEROSPACE INTERNATIONAL HOLDINGS LIMITED,航天控股
32,"CROSS-HARBOUR (HOLDINGS) LIMITED, THE",港通控股
33,AMBER HILL FINANCIAL HOLDINGS LIMITED -NEW,安山金控
34,KOWLOON DEVELOPMENT COMPANY LIMITED,九龍建業
35,FAR EAST CONSORTIUM INTERNATIONAL LTD,遠東發展
36,FAR EAST HOLDINGS INTERNATIONAL LIMITED,遠東控股國際
